Hotel Adlon Kempinski Berlin;300;DISPONIBILE;Un lussuoso hotel cinque stelle situato vicino alla Porta di Brandeburgo.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/643103194.jpg?k=4f53ea3236b5a3f2a86b5169cd0af3beaae32434d98b727ce5d154903cf76959&o=&hp=1;1
The Ritz-Carlton, Berlin;250;DISPONIBILE;Un elegante hotel di lusso che offre servizi esclusivi e una posizione centrale.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/488148939.jpg?k=482540115779ce0324b9dcbe286e10fff34ed57f6d8ba3ff89e34a5e8f6d2c2d&o=&hp=1;1
Hotel Zoo Berlin;150;DISPONIBILE;Un'opzione più economica ma stilosa, situato vicino ad Alexanderplatz.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/494815642.jpg?k=4d08f35f1afdc3ca39bc219f7e6541637e5fe6f9a2d588bd98bb3c31929b08e4&o=&hp=1;1
Motel One Berlin-Alexanderplatz;90;DISPONIBILE;Un hotel boutique trendy nel cuore di Berlino, noto per il suo design unico e moderno.;https://cf.bstatic.com/xdata/images/hotel/max1024x768/624092524.webp?k=dc51364cd7dce501bc5aeed2f6f528b795534cfe947cb742d8f167526585f6a4&o=;1
The Ritz Paris;800;DISPONIBILE;Situato nella storica Place Vendôme, The Ritz Paris è il simbolo del lusso parigino. Con camere eleganti, un servizio impeccabile e una spa esclusiva, è una delle destinazioni più ambite.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/355710991.jpg?k=9fa71bee4319c691ad70bbd2e2d8820da3f22b39f040e6ae2d75e93a6f8e84a5&o=&hp=1;2
Le Meurice;600;DISPONIBILE;Un'istituzione a Parigi, Le Meurice è un hotel di lusso che fonde lo stile classico francese con il design contemporaneo. La sua posizione centrale offre l'accesso a tutte le principali attrazioni turistiche.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/286970580.jpg?k=55a80383b8bc8d3ec61bf3ab8f8fe2a04fc959f2426dd2933704760ad0fdf0f4&o=&hp=1;2
Hotel ibis Paris Montmartre;90;DISPONIBILE;Situato nel quartiere storico di Montmartre, l'hotel ibis offre un soggiorno confortevole a prezzi più contenuti, perfetto per chi desidera esplorare Parigi senza spendere troppo.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/228251340.jpg?k=ee1cd3cac5756a25b818714fb818b44e004920e0b61967a2478b6f10b4dc123c&o=&hp=1;2
Hôtel de Crillon;160;DISPONIBILE;Un altro hotel iconico a Parigi, l'Hôtel de Crillon è noto per la sua eleganza classica e il suo servizio impeccabile. Le camere sono spaziose e lussuose.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/436509434.jpg?k=a2b38a3462ccf332848724cd2097cf2f62f1f5b15b37886d64766285808bfc1e&o=&hp=1;2
The Langham, London;200;DISPONIBILE;Un hotel di lusso che combina la raffinatezza con il comfort moderno. Offre una spa esclusiva, un ristorante stellato Michelin e camere eleganti con vista sulla città.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/269378364.jpg?k=140028d033c4cdba8ea668b2ae428dc8c1c4769ffb11f2e334765d9f30f005f5&o=&hp=1;3
The Dorchester;450;DISPONIBILE;Un’istituzione londinese, il Dorchester è sinonimo di lusso. Situato a Mayfair, offre stanze e suite di alto livello, una delle migliori cucine della città e una spa esclusiva.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/559948962.jpg?k=9762b8e658d48dc9a4ba79af1f3f0f7a5009d23bfc02577bc9aba28ea59a2afe&o=&hp=1;3
Premier Inn London City (Aldgate);150;DISPONIBILE;Un'opzione più economica, Premier Inn è conosciuto per il comfort e la qualità a prezzi accessibili. L'hotel è ben posizionato per esplorare le principali attrazioni di Londra.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/539486820.jpg?k=c25dae0bf3f9c7830a4bfb3228d46ce0899ab28f043e8f14a7322e6727757fef&o=&hp=1;3
The Savoy;600;DISPONIBILE;Situato sulle rive del Tamigi, The Savoy è uno degli hotel più iconici di Londra. Con la sua eleganza senza tempo e il servizio impeccabile, è perfetto per una visita di lusso.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/634684823.jpg?k=c659cbf1e1dd9371f23ace5b6d5cce9622340e4e9d62fd41f091a44944c2e43b&o=&hp=1;3
Cavo Tagoo Mykonos;400;DISPONIBILE;Un hotel di lusso con una vista mozzafiato sull'Egeo. Offre camere e suite eleganti con piscina privata, ristorante gourmet e una spa rilassante.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/220191876.jpg?k=f6ce9debff4ba9f26cc62f9fd374f792c0259fbc0262c243eb098481035d6767&o=&hp=1;4
Katikies Mykonos;600;DISPONIBILE;Situato su una scogliera, Katikies Mykonos è un hotel boutique che offre camere eleganti e moderne con viste incredibili sul mare e servizi di alta classe.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/210134374.jpg?k=2fe785abe379f1b8dd0696d17e7217f34931197db57547dc92015b9f8ee2c498&o=&hp=1;4
Mykonos Blu Grecotel Exclusive Resort;400;DISPONIBILE;Una struttura lussuosa che combina comfort, eleganza e panorami spettacolari. Le camere sono spaziose e la spiaggia privata è un’ottima opzione per il relax.;https://cf.bstatic.com/xdata/images/hotel/max1280x900/262563760.jpg?k=d58360cb101fa6228f4e68f52dfc8652ca2f52d26c3de2f7a301bbb017c73fe5&o=&hp=1;4
